Price,Close,High,Low,Open,Volume
Ticker,MMM,MMM,MMM,MMM,MMM
Date,,,,,
2020-11-09,114.2420883178711,122.6304222152192,114.04635899610336,121.72168349162382,5284048
2020-11-10,118.23353576660156,118.32441601788693,114.54266730188569,115.47237839585343,4186478
2020-11-11,118.28246307373047,119.35197710773267,117.15702273512812,119.34498631965765,3449742
2020-11-12,116.7725830078125,118.26849704024377,115.74500081030459,117.54150601255223,2651173
2020-11-13,118.68791198730469,119.01645353714066,116.93335162070761,117.38072381963585,2167272
2020-11-16,121.53294372558594,121.55391609094617,118.96052492842878,120.666149741929,2911423
2020-11-17,121.3791732788086,121.98034288510657,119.43587418838545,120.95976419347684,3097520
2020-11-18,119.81334686279297,122.12014139598432,119.7644113397277,121.98033837271211,3128497
2020-11-19,120.99787139892578,121.18824265248756,119.36915814895326,120.26459143961662,3571256
2020-11-20,121.90034484863281,121.94265242271992,120.53955415363431,120.92029658588407,3177652
2020-11-23,122.78169250488281,123.28934480948838,122.29519398804423,122.51377026103576,2468903
2020-11-24,124.85462951660156,124.95334720883298,123.3175698287101,123.38808246601826,3690856
2020-11-25,124.88282775878906,125.03794268513542,123.7053568508646,124.68540525236581,2454431
2020-11-27,124.72065734863281,126.65256190014516,123.7899549547801,125.37637334856001,1515452
2020-11-30,121.78752899169922,124.09312434355405,121.7663752061367,123.9309581881742,7344995
2020-12-01,120.22933197021484,123.87456462263785,119.8697433022023,122.83810619537061,4616082
2020-12-02,121.16710662841797,121.68181035470006,120.01784054206168,120.04604560113546,2896473
2020-12-03,121.15298461914062,122.25290454253721,120.59598626107703,120.59598626107703,2843849
2020-12-04,121.59717559814453,122.09072539842401,120.94851088162109,121.36449679014457,3185666
2020-12-07,119.96846008300781,121.62539119974484,119.28453899272502,121.07543124866535,3022053
2020-12-08,121.59717559814453,121.85804659042407,119.65116858130615,119.67937363285378,2070037
2020-12-09,123.592529296875,123.83931063206437,121.2234850950369,121.74523994985694,3337916
2020-12-10,122.32340240478516,123.67009065820572,121.75933998394436,123.29639946523955,2665645
2020-12-11,122.69710540771484,123.14129640399844,121.39271173817296,121.48436529590674,2243337
2020-12-14,122.03431701660156,124.23415666112896,121.9708685169925,123.86046545738803,4425320
2020-12-15,123.1624755859375,123.43039791818188,121.66065909711635,122.95800177066062,2715638
2020-12-16,123.6771469116211,123.98737675205821,122.92976449553029,123.1130844680192,2332080
2020-12-17,124.55142974853516,125.12254341188614,123.663035005745,124.09313628570827,2784049
2020-12-18,124.38928985595703,125.12256984520629,123.46563860537309,124.62901996544855,5599672
2020-12-21,123.85340881347656,124.18479242490203,121.99906826857638,122.40800290221438,2038702
2020-12-22,123.23297882080078,124.04380988777828,122.80992869273467,123.4233372244327,1651915
2020-12-23,122.67596435546875,123.959191500601,122.65481056288695,123.5996027612513,2108070
2020-12-24,123.04961395263672,123.23998515413354,122.27402662303739,122.9791013345764,784815
2020-12-28,123.18359375,124.37516710515128,122.95796620523915,123.60663092075005,1677988
2020-12-29,122.57721710205078,123.839303017569,122.08366732928704,123.77584165512482,1457804
2020-12-30,122.76056671142578,123.33168050956913,122.24586302685822,122.59840050216589,1697244
2020-12-31,123.2400131225586,123.29641036253973,122.10483691776373,122.76760420887676,2202195
2021-01-04,121.18120574951172,124.23418456476293,120.250503162612,123.3880971527046,3583455
2021-01-05,120.97671508789062,122.15419890340792,120.32099904331888,121.27990655488914,2745179
2021-01-06,122.81696319580078,123.78996034338506,121.30105736710853,121.78050467748619,4002294
2021-01-07,119.66527557373047,122.30225498284217,117.15520603405214,120.96260505520173,7012626
2021-01-08,117.47956085205078,119.53838854532232,116.06235962623329,119.27750462618805,5750488
2021-01-11,116.47834777832031,117.8461900267824,116.33733536861894,117.11291005561145,3272974
2021-01-12,117.4020004272461,117.87439650900836,115.68865909673497,116.97189906181734,3527124
2021-01-13,117.23983764648438,118.26924500726616,117.0776714385404,117.9378613272385,2509208
2021-01-14,117.33146667480469,118.00128515891667,116.49948201666349,117.9378366621986,3462898
2021-01-15,116.72513580322266,117.22573696321298,115.19511439897823,116.78153304995799,4246637
2021-01-19,119.24222564697266,119.5454170954834,117.6064612670814,117.9307936377966,4668227
2021-01-20,120.01781463623047,120.2716343785646,118.75572858600019,119.18582990949508,3196071
2021-01-21,120.33509826660156,120.91326326310481,119.43260088851106,120.01781714840833,3215087
2021-01-22,119.18585968017578,120.00374208471196,117.9167220496892,120.00374208471196,2809763
2021-01-25,120.1376953125,121.61835792808702,118.61473797693388,119.07303157033073,4010308
2021-01-26,124.05791473388672,124.68542580606001,121.32926837815882,122.52790614097931,6158084
2021-01-27,131.60220336914062,132.0393431299972,124.91104287103697,125.01679896247666,9684012
2021-01-28,129.32479858398438,131.55283046827577,128.73253108029087,130.43882095976434,4967825
2021-01-29,123.85340881347656,129.0145599444868,123.2963976635582,128.52804855410093,5043771
2021-02-01,123.17655944824219,124.87578536263369,122.66185578923195,124.07200562044243,3073361
2021-02-02,123.40217590332031,125.17191429669506,123.28230442872653,124.2694169419792,3401902
2021-02-03,123.72653198242188,125.1084768984866,122.36574086004437,123.65601933679771,3437543
2021-02-04,124.86872100830078,125.00268214007734,123.74766024506638,123.94506987754319,2192268
2021-02-05,126.2154312133789,126.37054614556664,124.58670512450384,125.22126738047807,2179590
2021-02-08,127.44928741455078,127.52683843188302,126.32821392258319,126.41986746438799,2816700
2021-02-09,127.57621002197266,128.25307979525832,127.0403526402435,127.773632517059,2323589
2021-02-10,127.67494201660156,128.59154205775596,127.36471211567881,128.23900457017893,2307084
2021-02-11,125.9759292602539,127.8739884570531,125.00201037871935,127.49721777120203,2617326
2021-02-12,127.03511810302734,127.13463629253778,125.97589999577028,126.01855620840361,1293474
2021-02-16,125.56358337402344,127.73889455292897,125.34320591394527,127.24838702434266,2193464
2021-02-17,125.57779693603516,126.03986697030278,124.5043601284609,125.15126077109562,1887408
2021-02-18,127.51140594482422,127.72467403310793,125.22235787006048,126.00433653600052,2496172
2021-02-19,125.49964904785156,128.50669239905616,125.25794341001901,127.65361978237874,3572213
2021-02-22,125.20104217529297,125.89059911623677,124.41196703571168,125.44274776241527,2716714
2021-02-23,125.2365951538086,126.21050097279921,124.19870500686724,126.21050097279921,2813351
2021-02-24,126.27446746826172,126.52328240185219,123.52334932773321,125.11573117213051,3280150
2021-02-25,127.07778930664062,128.49245007279066,126.13230801490289,126.19629234140092,3150623
2021-02-26,124.44749450683594,127.56828697738396,124.12759884580717,127.56117760832548,4022507
2021-03-01,125.40719604492188,126.18206538886336,124.90246975530823,124.90246975530823,2200640
2021-03-02,125.90481567382812,126.38821386639613,124.25557172899572,125.82662558481798,2717790
2021-03-03,126.58013916015625,127.97348456819826,125.6844235987793,126.13228786611785,2712289
2021-03-04,126.27446746826172,128.0872267711762,123.74371381294975,127.45453187069788,4228697
2021-03-05,128.52796936035156,129.0682424695549,125.79106994361554,126.85739742441416,2706309
2021-03-08,130.6393280029297,132.01134570284222,128.6204224509531,128.6630786741564,3079580
2021-03-09,128.79815673828125,130.90948432025672,128.68440679826034,130.44741410883745,3399152
2021-03-10,131.16537475585938,131.7838510358683,128.961638673459,129.6440863111908,2835357
2021-03-11,131.20802307128906,131.56346560896765,129.45213849195315,130.18435167636733,2843251
2021-03-12,131.45684814453125,132.37389203798068,130.99476502603872,131.9473557706496,3219154
2021-03-15,134.698486328125,134.80511390741722,132.018448372441,132.24592227137148,3946800
2021-03-16,132.82884216308594,133.97337283890016,132.21037889567629,133.6463548077373,2707744
2021-03-17,133.859619140625,135.0610117664766,132.97101282446812,133.1700621960835,3091780
2021-03-18,135.7790069580078,136.5538763404747,134.0728880106428,134.0728880106428,3648398
